"","EUK.LH.MD9.0000.1","EUK.LH.MD9.0000.2","EUK.LH.MD9.0000.3","EUK.LH.MD9.0000.4","EUK.LH.MD9.0000.5","EUK.LH.MD9.0000.6","EUK.LH.MD9.0000.7","EUK.LH.MD9.0000.8","EUK.LH.MD9.0250.1","EUK.LH.MD9.0250.2","EUK.LH.MD9.0250.3","EUK.LH.MD9.0250.4","EUK.LH.MD9.0250.5","EUK.LH.MD9.0250.6","EUK.LH.MD9.0250.7","EUK.LH.MD9.0250.8","EUK.LH.MD9.0450.1","EUK.LH.MD9.0450.2","EUK.LH.MD9.0450.3","EUK.LH.MD9.0450.4","EUK.LH.MD9.0450.5","EUK.LH.MD9.0450.6","EUK.LH.MD9.0450.7","EUK.LH.MD9.0450.8","EUK.LH.MD9.0700.1","EUK.LH.MD9.0700.2","EUK.LH.MD9.0700.3","EUK.LH.MD9.0700.4","EUK.LH.MD9.0700.5","EUK.LH.MD9.0700.6","EUK.LH.MD9.0700.7","EUK.LH.MD9.0700.8","EUK.LH.MD9.0900.1","EUK.LH.MD9.0900.2","EUK.LH.MD9.0900.3","EUK.LH.MD9.0900.4","EUK.LH.MD9.0900.5","EUK.LH.MD9.0900.6","EUK.LH.MD9.0900.7","EUK.LH.MD9.0900.8","EUK.LH.MD9.1150.1","EUK.LH.MD9.1150.2","EUK.LH.MD9.1150.3","EUK.LH.MD9.1150.4","EUK.LH.MD9.1150.5","EUK.LH.MD9.1150.6","EUK.LH.MD9.1150.7","EUK.LH.MD9.1150.8","EUK.NM.MD9.1849.1","EUK.NM.MD9.1849.2","EUK.NM.MD9.1849.3","EUK.NM.MD9.1849.4","EUK.NM.MD9.1849.5","EUK.NM.MD9.1849.6","EUK.NM.MD9.1849.7","EUK.NM.MD9.1849.8","EUK.NM.MD9.2050.1","EUK.NM.MD9.2050.2","EUK.NM.MD9.2050.3","EUK.NM.MD9.2050.4","EUK.NM.MD9.2050.5","EUK.NM.MD9.2050.6","EUK.NM.MD9.2050.7","EUK.NM.MD9.2050.8","EUK.NM.MD9.2250.1","EUK.NM.MD9.2250.2","EUK.NM.MD9.2250.3","EUK.NM.MD9.2250.4","EUK.NM.MD9.2250.5","EUK.NM.MD9.2250.6","EUK.NM.MD9.2250.7","EUK.NM.MD9.2250.8","EUK.NM.MD9.2450.1","EUK.NM.MD9.2450.2","EUK.NM.MD9.2450.3","EUK.NM.MD9.2450.4","EUK.NM.MD9.2450.5","EUK.NM.MD9.2450.6","EUK.NM.MD9.2450.7","EUK.NM.MD9.2450.8","EUK.NM.MD9.2650.1","EUK.NM.MD9.2650.2","EUK.NM.MD9.2650.3","EUK.NM.MD9.2650.4","EUK.NM.MD9.2650.5","EUK.NM.MD9.2650.6","EUK.NM.MD9.2650.7","EUK.NM.MD9.2650.8"
"ASV_11",0,0,0,0,0,0,0,0,5384.66183574879,3700.99320439101,4181.67985392575,2800.77955825032,4997.94997949979,5775.49271636675,3517.12962962963,5774.32045779685,0,0,0,0.87514585764294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12",0,0,0,0,0,0,0,0,0,0,0,6.06323083585968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.588486140725,5.26085050416484,4.644412191582,31.7997293640054,10.6483672503549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46969696969697,5.18582541054451,0,17.7059276366436,19.0207819654808,0,0,1209.0112640801,631.192660550459,771.16704805492,1381.05263157895,1001.99203187251,1174.14860681115,1462.23021582734,746.268656716418,1099.16201117318,928.571428571429,998.96480331263,1135.50600343053,1821.0624417521,906.832298136646,1010.09251471825,1722.63549415515,4242.50325945241,3715.46961325967,2961.93771626298,4416.66666666667,5031.25,4573.44854673998,3887.89237668161,3666.66666666667,4374.06855439642,2163.41689879294,5201.24666073019,1891.1704312115,4766.03543066585,4582.41758241758,2196.64394336654,6692.74193548387
"ASV_13",0,0,0,0,0,0,0,0,49.5169082125604,71.6152639832723,83.6883749239197,34.6470333477696,67.6506765067651,67.6949443016281,78.7037037037037,76.5379113018598,46.1329715061058,65.672497849154,188.713048671245,52.2170361726955,77.1042713567839,50.8762012436405,69.0564048497628,124.454148471616,1954.14507772021,2483.30683624801,2029.72651605232,2298.24093816631,1601.92897851819,2191.87227866473,2675.01127649977,3204.44865120682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_14",0,0,0,0,0,0,0,0,0,0,0,1.73235166738848,1.230012300123,0,0,0,0,0,0,0,0.471105527638191,0,0,0,1.03626943005181,0,0,0,2.63042525208242,2.322206095791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11502.6135906715,1924.24242424242,1876.40449438202,1775.3108348135,3623.55658198614,9330.75026417753,2167.70186335404,3412.36363636364,0,0,0,0,0,0,0,0,305.86592178771,215.126050420168,217.391304347826,178.387650085763,438.956197576887,276.39751552795,256.518082422204,276.301806588735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_15",11.577752553916,4.28599259692188,3.84387936132466,9.23117499670315,9.77713874910137,2.51677852348993,6.00980547208603,11.7404410598128,0,0,0,3.03161541792984,0,0.856898029134533,0,0,233.378561736771,235.445942070548,272.917288742908,133.89731621937,952.575376884422,168.456755228943,270.95413811281,314.722395508422,1908.54922279793,1881.82299947006,1644.47086801427,2047.44136460554,1442.78825076721,1239.18722786647,1930.76229138475,2115.00236630383,46.8085106382979,131.76826959485,181.260457334077,55.7851239669422,272.607086197779,32.5925925925926,64.1240569991618,189.877961234745,0,1.49105367793241,0,0,0.651890482398957,0,0,4.88334237655996,0,0,0,0,0,7.04473406128919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_16",69.6935300794552,141.048120007793,116.203429923122,166.55677172623,138.173975557153,115.771812080537,127.471137118456,88.5292717753451,158.816425120773,154.208050182959,219.415702982349,155.911650064963,184.50184501845,257.640674093116,159.259259259259,221.387696709585,215.739484396201,325.207915113278,619.587936697522,103.267211201867,198.178391959799,279.253815715093,391.934633632051,329.382407985028,186.787564766839,319.81981981982,145.065398335315,233.475479744136,163.08636562911,210.740203193033,242.895805142084,199.006152389967,348.936170212766,677.394926164332,281.093139988846,333.333333333333,272.607086197779,219.259259259259,347.024308466052,412.778176597272,895.622895622895,622.266401590457,570.257611241218,472.173144876325,674.380704041721,1036.63003663004,752.277904328018,615.301139446555,831.121833534379,634.469696969697,921.348314606741,662.522202486679,750.577367205543,1093.34272631208,710.736468500444,909.090909090909,466.833541927409,282.56880733945,272.311212814645,581.052631578947,203.187250996016,100.61919504644,332.73381294964,265.339966832504,78.2122905027933,318.487394957983,158.385093167702,126.929674099485,339.23578751165,186.335403726708,144.659377628259,251.859723698193,783.572359843546,435.082872928177,455.017301038062,887.992831541219,492.1875,760.408483896308,506.726457399103,520.289855072464,520.119225037258,321.262766945218,444.345503116652,1047.22792607803,1069.63958460599,961.038961038961,391.190351337179,979.032258064516
"ASV_17",0.908059023836549,0.779271381258523,1.77409816676523,2.76935249901095,1.58159597411934,1.11856823266219,1.58152775581211,0.951927653498334,0,0,0,1.29926375054136,0,0,0,2.5035765379113,0,3.44135359908231,0,1.4585764294049,2.19849246231156,0,0,0,0,1.58982511923688,0,0,1.31521262604121,1.74165457184325,0,1.41978230004733,4.25531914893617,0,2.23089793641941,0,1.32205182443152,0,1.67644593461861,0,0,0,0,0.88339222614841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6858.93854748603,5304.20168067227,5741.20082815735,6356.77530017153,12184.5293569432,8131.46997929607,7811.60639192599,8302.8692879915,0,2.76243093922652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_19",0,6.81862458601208,5.61797752808989,0,0,0,6.80056934999209,0,6.34057971014493,0,0,0,0,0,0,0,0,26.9572698594781,0,5.54259043173862,0,0,0,0,1314.76683937824,1844.46210916799,1912.00951248514,1724.14712153518,1231.47742218325,1744.26705370102,2161.7050067659,2168.24420255561,14.8936170212766,0,0,0,0,0,30.176026823135,8.61450107681264,0,8.94632206759443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9899874843554,45.8715596330275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6989247311828,45.5729166666667,0,0,0,0,0,0,0,0,0,7.34137388568432,0
"ASV_20",690.124858115777,958.698616793298,955.943228858663,962.152182513517,645.29115744069,944.07158836689,794.559544520006,566.396953831509,403.985507246377,353.894406691061,397.139379184419,302.29536595929,432.144321443214,588.403313339046,282.87037037037,402.718168812589,0,0,0,0,0,0,0,0,93.5233160621762,38.4207737148914,71.5814506539834,43.9765458422175,33.3187198597107,83.8896952104499,122.011727559765,110.979649787033,0,0,0,0,11.1052353252247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32386867790594,0,0,0,0,0,0,0,0,21.558872305141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_21",9.53461975028377,0,3.54819633353046,1.58248714229197,0,4.19463087248322,2.37229163371817,3.49040139616056,151.268115942029,144.798745426032,204.503956177724,130.359462970983,202.132021320213,209.940017137961,190.740740740741,140.915593705293,118.724559023066,71.4080871809578,179.755150791281,63.8856476079347,172.895728643216,107.405313736574,185.819715340011,104.491578290705,336.787564766839,361.950185479597,298.692033293698,418.710021321962,255.589653660675,296.6618287373,449.481281010374,495.267392333176,213.829787234043,512.684589170769,249.302844394869,345.04132231405,271.549444738234,288.888888888889,318.524727577536,299.353912419239,884.078884078884,531.809145129225,551.52224824356,965.547703180212,813.885267275098,854.293854293854,880.410022779043,620.72707542051,71.1700844390832,3.78787878787879,9.50734658599827,22.202486678508,0,116.238112011272,20.4081632653061,63.2727272727273,0,95.4128440366972,0,47.3684210526316,29.8804780876494,51.0835913312693,0,51.4096185737977,0,0,91.0973084886128,0,0,0,0,58.4484590860786,36.5058670143416,84.2541436464088,0,0,0,0,0,31.8840579710145,0,0,0,0,0,0,0,0
