"RIZ.BLANK-4","RIZ.ExrNTC-1","RIZ.ExrNTC-3","RIZ.ExrNTC-4","RIZ.ExrPTC-1","RIZ.ExrPTC-2","RIZ.ExrPTC-3","RIZ.ExrPTC-4","RIZ.ExrPTC-5","RIZ.ExrPTC-6","RIZ.ExrPTC-7","RIZ.LH-MD9-0000-1","RIZ.LH-MD9-0000-2","RIZ.LH-MD9-0000-3","RIZ.LH-MD9-0000-4","RIZ.LH-MD9-0000-5","RIZ.LH-MD9-0000-6","RIZ.LH-MD9-0000-7","RIZ.LH-MD9-0000-8","RIZ.LH-MD9-0250-1","RIZ.LH-MD9-0250-2","RIZ.LH-MD9-0250-3","RIZ.LH-MD9-0250-4","RIZ.LH-MD9-0250-5","RIZ.LH-MD9-0250-6","RIZ.LH-MD9-0250-7","RIZ.LH-MD9-0250-8","RIZ.LH-MD9-0450-1","RIZ.LH-MD9-0450-2","RIZ.LH-MD9-0450-3","RIZ.LH-MD9-0450-4","RIZ.LH-MD9-0450-5","RIZ.LH-MD9-0450-6","RIZ.LH-MD9-0450-7","RIZ.LH-MD9-0450-8","RIZ.LH-MD9-0700-1","RIZ.LH-MD9-0700-2","RIZ.LH-MD9-0700-3","RIZ.LH-MD9-0700-4","RIZ.LH-MD9-0700-5","RIZ.LH-MD9-0700-6","RIZ.LH-MD9-0700-7","RIZ.LH-MD9-0700-8","RIZ.LH-MD9-0900-1","RIZ.LH-MD9-0900-2","RIZ.LH-MD9-0900-3","RIZ.LH-MD9-0900-4","RIZ.LH-MD9-0900-5","RIZ.LH-MD9-0900-6","RIZ.LH-MD9-0900-7","RIZ.LH-MD9-0900-8","RIZ.LH-MD9-1150-1","RIZ.LH-MD9-1150-2","RIZ.LH-MD9-1150-3","RIZ.LH-MD9-1150-4","RIZ.LH-MD9-1150-5","RIZ.LH-MD9-1150-6","RIZ.LH-MD9-1150-7","RIZ.LH-MD9-1150-8","RIZ.NM-MD9-1849-1","RIZ.NM-MD9-1849-2","RIZ.NM-MD9-1849-3","RIZ.NM-MD9-1849-4","RIZ.NM-MD9-1849-5","RIZ.NM-MD9-1849-6","RIZ.NM-MD9-1849-7","RIZ.NM-MD9-1849-8","RIZ.NM-MD9-2050-1","RIZ.NM-MD9-2050-2","RIZ.NM-MD9-2050-3","RIZ.NM-MD9-2050-4","RIZ.NM-MD9-2050-5","RIZ.NM-MD9-2050-6","RIZ.NM-MD9-2050-7","RIZ.NM-MD9-2050-8","RIZ.NM-MD9-2250-1","RIZ.NM-MD9-2250-2","RIZ.NM-MD9-2250-3","RIZ.NM-MD9-2250-4","RIZ.NM-MD9-2250-5","RIZ.NM-MD9-2250-6","RIZ.NM-MD9-2250-7","RIZ.NM-MD9-2250-8","RIZ.NM-MD9-2450-1","RIZ.NM-MD9-2450-3","RIZ.NM-MD9-2450-4","RIZ.NM-MD9-2450-5","RIZ.NM-MD9-2450-6","RIZ.NM-MD9-2450-7","RIZ.NM-MD9-2450-8","RIZ.NM-MD9-2650-1","RIZ.NM-MD9-2650-2","RIZ.NM-MD9-2650-3","RIZ.NM-MD9-2650-4","RIZ.NM-MD9-2650-5","RIZ.NM-MD9-2650-6","RIZ.NM-MD9-2650-7","RIZ.NM-MD9-2650-8","RIZ.TubNTC-4","RIZ.TubNTC-5","RIZ.TubNTC-7","RIZ.TubNTC-8"
"ASV_30",0,0,0,0,6940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,59,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0
"ASV_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_33",0,0,0,0,0,0,0,0,0,0,0,0,6408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_34",0,0,0,0,0,0,0,0,0,0,0,0,6390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,5402,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0
"ASV_37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111,0,0,0,0,0,0,31,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5630,0,0,0,0,0,0,0,0
"ASV_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_39",0,0,0,0,225,115,7,0,0,1030,3787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
