,SenseDemultiplex,SenseStripped,AntiSenseDemultiplex,AntSenseStripped
Pool04-EUK-05.S,0,0,0,0
Pool04-EUK-06.S,0,0,0,0
Pool04-EUK-07.S,0,0,0,0
Pool04-EUK-08.S,0,0,0,0
Pool04-EUK-09.S,0,0,0,0
Pool04-EUK-10.S,0,0,0,0
Pool04-EUK-11.S,0,0,0,0
Pool04-EUK-12.S,0,0,0,0
Pool04-EUK-13.S,0,0,0,0
Pool04-EUK-14.S,0,0,0,0
Pool04-EUK-15.S,0,0,0,0
Pool04-EUK-16.S,0,0,0,0
Pool04-EUK-17.S,0,0,0,0
Pool04-EUK-18.S,0,0,0,0
Pool04-EUK-19.S,0,0,0,0
Pool04-EUK-20.S,0,0,0,0
Pool04-EUK-21.S,0,0,0,0
Pool04-EUK-22.S,0,0,0,0
Pool04-EUK-23.S,0,0,0,0
Pool04-EUK-24.S,0,0,0,0
Pool04-EUK-25.S,0,0,0,0
Pool04-EUK-26.S,0,0,0,0
Pool04-EUK-27.S,0,0,1,0
Pool04-EUK-28.S,0,0,0,0
Pool04-EUK-29.S,0,0,0,0
Pool04-EUK-30.S,0,0,0,0
Pool04-EUK-31.S,0,0,0,0
Pool04-EUK-32.S,0,0,0,0
Pool04-EUK-33.S,0,0,0,0
Pool04-EUK-34.S,0,0,0,0
Pool04-EUK-35.S,0,0,0,0
Pool04-EUK-36.S,0,0,0,0
Pool04-EUK-37.S,0,0,0,0
Pool04-EUK-38.S,0,0,0,0
Pool04-EUK-39.S,0,0,0,0
Pool04-EUK-40.S,0,0,0,0
Pool05-EUK-01.S,0,0,0,0
Pool05-EUK-02.S,0,0,0,0
Pool05-EUK-03.S,0,0,0,0
Pool05-EUK-04.S,0,0,0,0
Pool05-EUK-05.S,0,0,0,0
Pool05-EUK-06.S,0,0,0,0
Pool05-EUK-07.S,0,0,0,0
Pool05-EUK-08.S,0,0,0,0
Pool05-EUK-09.S,0,0,0,0
Pool05-EUK-10.S,0,0,0,0
Pool05-EUK-11.S,0,0,0,0
Pool05-EUK-12.S,0,0,0,0
Pool05-EUK-13.S,0,0,0,0
Pool05-EUK-14.S,0,0,0,0
Pool05-EUK-15.S,0,0,0,0
Pool05-EUK-16.S,0,0,0,0
Pool05-EUK-17.S,0,0,0,0
Pool05-EUK-18.S,0,0,0,0
Pool05-EUK-19.S,0,0,0,0
Pool05-EUK-20.S,0,0,0,0
Pool05-EUK-21.S,0,0,0,0
Pool05-EUK-22.S,0,0,0,0
Pool05-EUK-23.S,0,0,0,0
Pool05-EUK-24.S,0,0,0,0
Pool05-EUK-25.S,0,0,0,0
Pool05-EUK-26.S,0,0,0,0
Pool05-EUK-27.S,0,0,0,0
Pool05-EUK-28.S,0,0,0,0
Pool05-EUK-29.S,0,0,0,0
Pool05-EUK-30.S,0,0,0,0
Pool05-EUK-31.S,0,0,0,0
Pool05-EUK-32.S,0,0,0,0
Pool05-EUK-33.S,0,0,0,0
Pool05-EUK-34.S,0,0,0,0
Pool05-EUK-35.S,0,0,0,0
Pool05-EUK-36.S,0,0,0,0
Pool05-EUK-37.S,0,0,0,0
Pool05-EUK-38.S,0,0,0,0
Pool05-EUK-39.S,0,0,0,0
Pool05-EUK-40.S,0,0,0,0
Pool06-EUK-01.S,0,0,0,0
Pool06-EUK-02.S,0,0,0,0
Pool06-EUK-03.S,0,0,0,0
Pool06-EUK-04.S,0,0,0,0
Pool06-EUK-05.S,0,0,0,0
Pool06-EUK-06.S,0,0,0,0
Pool06-EUK-07.S,0,0,0,0
Pool06-EUK-08.S,1,1,0,0
Pool06-EUK-09.S,0,0,0,0
Pool06-EUK-10.S,0,0,0,0
Pool06-EUK-11.S,0,0,0,0
Pool06-EUK-12.S,0,0,0,0
Pool06-EUK-13.S,0,0,0,0
Pool06-EUK-14.S,0,0,0,0
Pool06-EUK-15.S,0,0,0,0
Pool06-EUK-16.S,0,0,0,0
Pool06-EUK-17.S,0,0,0,0
Pool06-EUK-18.S,0,0,0,0
Pool06-EUK-19.S,0,0,0,0
Pool06-EUK-20.S,0,0,0,0
Pool06-EUK-21.S,0,0,0,0
Pool06-EUK-22.S,0,0,0,0
Pool06-EUK-23.S,0,0,0,0
Pool06-EUK-24.S,0,0,0,0
Pool06-EUK-25.S,0,0,0,0
Pool06-EUK-26.S,0,0,0,0
Pool06-EUK-27.S,0,0,0,0
Pool06-EUK-28.S,0,0,0,0
Pool06-EUK-29.S,0,0,0,0
Pool06-EUK-30.S,0,0,0,0
Pool06-EUK-31.S,0,0,0,0
Pool06-EUK-32.S,0,0,0,0
Pool06-EUK-33.S,0,0,0,0
Pool06-EUK-34.S,0,0,0,0
Pool06-EUK-35.S,0,0,0,0
Pool06-EUK-36.S,0,0,0,0
Pool06-EUK-37.S,0,0,0,0
Pool06-EUK-38.S,0,0,0,0
Pool06-EUK-39.S,0,0,0,0
Pool06-EUK-40.S,0,0,0,0
RIZ.BLANK-1.S,364,0,427,0
RIZ.BLANK-2.S,2260,0,2261,0
RIZ.BLANK-3.S,852,0,1009,0
RIZ.BLANK-4.S,29523,5,27008,2
RIZ.BLANK-5.S,24925,2,27727,1
RIZ.BLANK-6.S,2289,0,2991,0
RIZ.BLANK-7.S,7400,0,7733,0
RIZ.BLANK-8.S,5706,0,6463,0
RIZ.ExrNTC-1.S,969,1,939,2
RIZ.ExrNTC-2.S,566,0,643,0
RIZ.ExrNTC-3.S,3156,3,3387,1
RIZ.ExrNTC-4.S,6084,2,6405,0
RIZ.ExrNTC-5.S,4735,1,4676,1
RIZ.ExrNTC-6.S,1110,0,1166,0
RIZ.ExrNTC-7.S,0,0,0,0
RIZ.ExrNTC-8.S,1189,0,1322,0
RIZ.ExrPTC-1.S,16252,15727,16272,15867
RIZ.ExrPTC-2.S,161797,156561,155497,151129
RIZ.ExrPTC-3.S,5,3,8,7
RIZ.ExrPTC-4.S,57216,55310,55392,54416
RIZ.ExrPTC-5.S,122471,119283,116409,114338
RIZ.ExrPTC-6.S,9603,9335,9473,9264
RIZ.ExrPTC-7.S,2131,2046,2123,2038
RIZ.ExrPTC-8.S,121,0,120,0
